case,dice_H0,dice_H1,dice_H2,dice_L3,dice_L4,dice_L5,signed_H1,abs_H1,switch_H1,box_iou_H1,signed_H2,abs_H2,switch_H2,box_iou_H2,signed_L3,abs_L3,switch_L3,box_iou_L3,signed_L4,abs_L4,switch_L4,box_iou_L4,signed_L5,abs_L5,switch_L5,box_iou_L5,range_H0_L5,oracle_H0_L5
100,0.8378088077336198,0.8394396551724138,0.8388600107546155,0.8388600107546155,0.8378088077336198,0.8515609264853978,0.0016308474387940475,0.0016308474387940475,False,0.9767441860465116,0.0010512030209957057,0.0010512030209957057,False,0.9234268385140257,0.0010512030209957057,0.0010512030209957057,False,0.9234268385140257,0.0,0.0,False,1.0,0.013752118751778064,0.013752118751778064,False,0.7441860465116279,0.013752118751778064,0.8515609264853978
1004,0.7432183302607321,0.7382445141065831,0.7382445141065831,0.7325912503235827,0.7721661054994389,0.7642607683352736,-0.004973816154149047,0.004973816154149047,False,0.9375,-0.004973816154149047,0.004973816154149047,False,0.9375,-0.010627079937149397,0.010627079937149397,False,0.9121621621621622,0.02894777523870673,0.02894777523870673,False,0.8324074074074074,0.021042438074541425,0.021042438074541425,False,0.8037037037037037,0.03957485517585613,0.7721661054994389
1007,0.6557842441447835,0.609268614100593,0.6103038309114928,0.6807881773399015,0.6990635282207036,0.6557842441447835,-0.04651563004419057,0.04651563004419057,False,0.9481429572529783,-0.04548041323329077,0.04548041323329077,False,0.9256661991584852,0.025003933195117956,0.025003933195117956,False,0.8731241473396999,0.04327928407592008,0.04327928407592008,False,0.8441558441558441,0.0,0.0,False,1.0,0.08979491412011065,0.6990635282207036
1008,0.7329725695092368,0.7317528467425798,0.514760551060573,0.5047429958085153,0.37931856087681676,0.7233164509472895,-0.0012197227666570498,0.0012197227666570498,False,0.96875,-0.2182120184486639,0.2182120184486639,False,0.9375,-0.2282295737007215,0.2282295737007215,False,0.967741935483871,-0.3536540086324201,0.3536540086324201,False,0.8961593172119487,-0.009656118561947369,0.009656118561947369,False,0.9253731343283582,0.3536540086324201,0.7329725695092368
1011,0.5112868994790661,0.5112868994790661,0.5112868994790661,0.5112868994790661,0.53,0.5138646499903045,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.01871310052093389,0.01871310052093389,False,0.6727272727272727,0.0025777505112383192,0.0025777505112383192,False,0.848989898989899,0.01871310052093389,0.53
1015,0.8505621058404168,0.8499724214009928,0.8505621058404168,0.8505747126436781,0.8393298544355946,0.8407746100053792,-0.0005896844394239764,0.0005896844394239764,False,0.9545454545454546,0.0,0.0,False,1.0,1.2606803261316912e-05,1.2606803261316912e-05,False,0.9777777777777777,-0.011232251404822202,0.011232251404822202,False,0.9259796806966618,-0.009787495835037574,0.009787495835037574,False,0.9256661991584852,0.011244858208083519,0.8505747126436781
1016,0.5797453001819285,0.5819506272764063,0.5797453001819285,0.5819506272764063,0.5791682563906906,0.5724725943970768,0.002205327094477849,0.002205327094477849,False,0.9795918367346939,0.0,0.0,False,1.0,0.002205327094477849,0.002205327094477849,False,0.9795918367346939,-0.0005770437912379078,0.0005770437912379078,False,0.8018181818181818,-0.00727270578485173,0.00727270578485173,False,0.9607843137254902,0.009478032879329579,0.5819506272764063
102,0.8760962446593209,0.8760962446593209,0.8445217391304348,0.8445217391304348,0.8110388045312124,0.856159669649002,0.0,0.0,False,1.0,-0.03157450552888608,0.03157450552888608,False,0.868421052631579,-0.03157450552888608,0.03157450552888608,False,0.868421052631579,-0.06505744012810855,0.06505744012810855,False,0.7531572904707233,-0.01993657501031887,0.01993657501031887,False,0.8947368421052632,0.06505744012810855,0.8760962446593209
1023,0.9470722229666354,0.9466077880369329,0.9466077880369329,0.9433661260303111,0.9538461538461539,0.9531058855511757,-0.0004644349297024952,0.0004644349297024952,False,0.9777777777777777,-0.0004644349297024952,0.0004644349297024952,False,0.9777777777777777,-0.003706096936324288,0.003706096936324288,False,0.9352657004830918,0.006773930879518497,0.006773930879518497,False,0.8295397066262014,0.0060336625845403,0.0060336625845403,False,0.8502781992918563,0.010480027815842785,0.9538461538461539
1027,0.7182587666263603,0.7112555593568252,0.7204990469589326,0.7204990469589326,0.7371817855862316,0.7591747306919847,-0.007003207269535183,0.007003207269535183,False,0.9767441860465116,0.0022402803325722864,0.0022402803325722864,False,0.9761904761904762,0.0022402803325722864,0.0022402803325722864,False,0.9761904761904762,0.01892301895987125,0.01892301895987125,False,0.7517006802721088,0.040915964065624366,0.040915964065624366,False,0.81859410430839,0.04791917133515955,0.7591747306919847
1029,0.4676258992805755,0.4676258992805755,0.4676258992805755,0.4676258992805755,0.4676258992805755,0.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,0.0,0.0,False,1.0,-0.4676258992805755,0.4676258992805755,False,0.0,0.4676258992805755,0.4676258992805755
1031,0.8929537140130428,0.8965186841264772,0.8965186841264772,0.8962324393358876,0.8983512085801184,0.0,0.0035649701134343736,0.0035649701134343736,False,0.967741935483871,0.0035649701134343736,0.0035649701134343736,False,0.967741935483871,0.003278725322844789,0.003278725322844789,False,0.9473684210526315,0.005397494567075611,0.005397494567075611,False,0.9032258064516129,-0.8929537140130428,0.8929537140130428,True,0.0,0.8983512085801184,0.8983512085801184
1035,0.8906018381262971,0.7311342069588793,0.8467792370231395,0.005885015844273427,0.949785585834832,0.7311342069588793,-0.1594676311674178,0.1594676311674178,False,0.9487179487179487,-0.04382260110315761,0.04382260110315761,False,0.907469342251951,-0.8847168222820236,0.8847168222820236,True,0.9361702127659575,0.05918374770853485,0.05918374770853485,False,0.9129014697876974,-0.1594676311674178,0.1594676311674178,False,0.9487179487179487,0.9439005699905585,0.949785585834832
1037,0.7256165296600755,0.7243604004449388,0.7262631871182677,0.7262631871182677,0.7237925662141108,0.7262023769854493,-0.0012561292151367365,0.0012561292151367365,False,0.9565217391304348,0.0006466574581921458,0.0006466574581921458,False,0.9483344663494222,0.0006466574581921458,0.0006466574581921458,False,0.9483344663494222,-0.0018239634459646936,0.0018239634459646936,False,0.9347826086956522,0.0005858473253738117,0.0005858473253738117,False,0.927891156462585,0.0024706209041568394,0.7262631871182677
1039,0.7779960707269156,0.7779960707269156,0.7696162468679942,0.7779960707269156,0.7773555235224742,0.784839802031779,0.0,0.0,False,1.0,-0.008379823858921331,0.008379823858921331,False,0.9438202247191011,0.0,0.0,False,1.0,-0.0006405472044413996,0.0006405472044413996,False,0.7880434782608695,0.006843731304863487,0.006843731304863487,False,0.8583509513742071,0.015223555163784819,0.784839802031779
1040,0.706026683024076,0.6992446431324186,0.6992446431324186,0.7123454906149855,0.6978683966635774,0.6974660074165636,-0.0067820398916573765,0.0067820398916573765,False,0.8878048780487805,-0.0067820398916573765,0.0067820398916573765,False,0.8878048780487805,0.006318807590909525,0.006318807590909525,False,0.8760852407261247,-0.008158286360498646,0.008158286360498646,False,0.7739837398373983,-0.008560675607512391,0.008560675607512391,False,0.751219512195122,0.014879483198421917,0.7123454906149855
1041,0.9296274393849793,0.930576070901034,0.9326668626874449,0.9336870026525199,0.9324682984370393,0.9275103980986333,0.0009486315160547321,0.0009486315160547321,False,0.9527696793002915,0.003039423302465649,0.003039423302465649,False,0.8636363636363636,0.0040595632675406446,0.0040595632675406446,False,0.7901701323251418,0.0028408590520599963,0.0028408590520599963,False,0.8853644963828603,-0.002117041286345933,0.002117041286345933,False,0.8089136490250697,0.006176604553886578,0.9336870026525199
1047,0.7210327455919395,0.7361156044430066,0.7101509199917304,0.7035217035217035,0.7210327455919395,0.7062210796915167,0.015082858851067082,0.015082858851067082,False,0.9824561403508771,-0.010881825600209116,0.010881825600209116,False,0.9448727833461835,-0.017511042070236016,0.017511042070236016,False,0.9238597813795703,0.0,0.0,False,1.0,-0.014811665900422821,0.014811665900422821,False,0.9294653014789533,0.0325939009213031,0.7361156044430066
1053,0.8501133052767886,0.8495546558704453,0.8495546558704453,0.8501618122977346,0.8510913500404204,0.8501618122977346,-0.0005586494063433145,0.0005586494063433145,False,0.9782608695652174,-0.0005586494063433145,0.0005586494063433145,False,0.9782608695652174,4.8507020945942614e-05,4.8507020945942614e-05,False,0.9767441860465116,0.0009780447636317247,0.0009780447636317247,False,0.855787476280835,4.8507020945942614e-05,4.8507020945942614e-05,False,0.9559939301972686,0.0015366941699750392,0.8510913500404204
1054,0.7921168229846848,0.7900217970452894,0.7926389222997354,0.7754721380275122,0.7785876448799139,0.7607905497501136,-0.0020950259393953674,0.0020950259393953674,False,0.9076363636363637,0.0005220993150506503,0.0005220993150506503,False,0.9443636363636364,-0.01664468495717253,0.01664468495717253,False,0.707906488048332,-0.013529178104770834,0.013529178104770834,False,0.7669816893089191,-0.031326273234571156,0.031326273234571156,False,0.6620125180548868,0.031848372549621806,0.7926389222997354
